,eyeClosed,Center Up,,Center,,Center Down,,Left Point,,Right Point,,Left,Right,Up,Down,Eye width:,,,,,,,,,,,
capture_2020_07_17_12_10_14_005277_right,0,72,35,69,50,68,64,44,52,84,53,0,0,0,0,100,,0.807692308,0.354166667,0.066361556,0.435294118,0.671232877,0.558441558,0.578947368,0.454545455,0.714285714,0.476190476
capture_2020_07_17_12_10_14_005278_left,0,77,34,74,49,72,63,40,49,93,54,0,0,0,0,100,,0.871794872,0.34375,0.07208238,0.423529412,0.726027397,0.545454545,0.526315789,0.415584416,0.875,0.488095238
capture_2020_07_17_12_10_14_005278_right,0,76,39,73,52,72,66,44,55,86,55,0,0,0,0,100,,0.858974359,0.395833333,0.070938215,0.458823529,0.726027397,0.584415584,0.578947368,0.493506494,0.75,0.5
capture_2020_07_17_12_10_14_005307_left,0,50,13,38,35,52,52,23,41,78,44,1,0,0,0,100,,0.525641026,0.125,0.030892449,0.258823529,0.452054795,0.402597403,0.302631579,0.311688312,0.607142857,0.369047619
capture_2020_07_17_12_10_14_005307_right,0,62,21,46,41,59,57,29,47,92,45,1,0,0,0,100,,0.679487179,0.208333333,0.040045767,0.329411765,0.547945205,0.467532468,0.381578947,0.38961039,0.857142857,0.380952381
capture_2020_07_17_12_10_14_005308_left,0,44,20,34,41,43,56,18,44,70,48,1,0,0,0,100,,0.448717949,0.197916667,0.026315789,0.329411765,0.328767123,0.454545455,0.236842105,0.350649351,0.464285714,0.416666667
capture_2020_07_17_12_10_14_005308_right,0,53,29,44,49,54,63,22,56,85,55,1,0,0,0,100,,0.564102564,0.291666667,0.037757437,0.423529412,0.479452055,0.545454545,0.289473684,0.506493506,0.732142857,0.5
capture_2020_07_17_12_10_14_005309_left,0,43,28,39,49,43,65,20,49,74,56,1,0,0,0,100,,0.435897436,0.28125,0.032036613,0.423529412,0.328767123,0.571428571,0.263157895,0.415584416,0.535714286,0.511904762
capture_2020_07_17_12_10_14_005309_right,0,55,40,45,60,52,75,26,68,87,66,1,0,0,0,100,,0.58974359,0.40625,0.038901602,0.552941176,0.452054795,0.701298701,0.342105263,0.662337662,0.767857143,0.630952381
capture_2020_07_17_12_10_14_005310_left,0,50,15,41,33,47,50,22,35,75,39,1,0,1,0,100,,0.525641026,0.145833333,0.034324943,0.235294118,0.383561644,0.376623377,0.289473684,0.233766234,0.553571429,0.30952381
capture_2020_07_17_12_10_14_005310_right,0,62,20,50,39,61,56,27,46,90,44,1,0,1,0,100,,0.679487179,0.197916667,0.044622426,0.305882353,0.575342466,0.454545455,0.355263158,0.376623377,0.821428571,0.369047619
capture_2020_07_17_12_10_14_005311_left,0,50,16,47,33,46,52,28,35,83,42,1,0,1,0,100,,0.525641026,0.15625,0.041189931,0.235294118,0.369863014,0.402597403,0.368421053,0.233766234,0.696428571,0.345238095
capture_2020_07_17_12_10_14_005311_right,0,66,24,55,43,70,60,33,51,97,50,1,0,0,0,100,,0.730769231,0.239583333,0.050343249,0.352941176,0.698630137,0.506493506,0.434210526,0.441558442,0.946428571,0.44047619
capture_2020_07_17_12_10_14_005312_left,0,53,13,51,29,54,47,32,34,84,38,1,0,1,0,100,,0.564102564,0.125,0.04576659,0.188235294,0.479452055,0.337662338,0.421052632,0.220779221,0.714285714,0.297619048
capture_2020_07_17_12_10_14_005312_right,0,72,21,57,39,67,55,35,47,98,46,1,0,1,0,100,,0.807692308,0.208333333,0.052631579,0.305882353,0.657534247,0.441558442,0.460526316,0.38961039,0.964285714,0.392857143
capture_2020_07_17_12_10_14_005313_left,0,54,14,48,32,56,48,29,36,84,39,1,0,1,0,100,,0.576923077,0.135416667,0.042334096,0.223529412,0.506849315,0.350649351,0.381578947,0.246753247,0.714285714,0.30952381
capture_2020_07_17_12_10_14_005313_right,0,66,22,56,40,66,56,34,47,97,48,1,0,1,0,100,,0.730769231,0.21875,0.051487414,0.317647059,0.643835616,0.454545455,0.447368421,0.38961039,0.946428571,0.416666667
capture_2020_07_17_12_10_14_005314_left,0,50,15,45,32,50,48,24,37,81,41,1,0,1,0,100,,0.525641026,0.145833333,0.038901602,0.223529412,0.424657534,0.350649351,0.315789474,0.25974026,0.660714286,0.333333333
capture_2020_07_17_12_10_14_005314_right,0,58,21,49,39,61,56,28,46,90,46,1,0,1,0,100,,0.628205128,0.208333333,0.043478261,0.305882353,0.575342466,0.454545455,0.368421053,0.376623377,0.821428571,0.392857143
capture_2020_07_17_12_10_14_005315_left,0,44,15,37,30,43,48,18,31,74,40,1,0,1,0,100,,0.448717949,0.145833333,0.029748284,0.2,0.328767123,0.350649351,0.236842105,0.181818182,0.535714286,0.321428571
capture_2020_07_17_12_10_14_005444_left,0,35,33,30,49,36,63,12,50,64,53,1,0,0,1,100,,0.333333333,0.333333333,0.02173913,0.423529412,0.232876712,0.545454545,0.157894737,0.428571429,0.357142857,0.476190476
capture_2020_07_17_12_10_14_005444_right,0,37,25,34,39,41,54,10,45,71,40,1,0,0,1,100,,0.358974359,0.25,0.026315789,0.305882353,0.301369863,0.428571429,0.131578947,0.363636364,0.482142857,0.321428571
capture_2020_07_17_12_10_14_005445_left,0,38,35,34,51,40,63,14,51,65,53,1,0,0,1,100,,0.371794872,0.354166667,0.026315789,0.447058824,0.287671233,0.545454545,0.184210526,0.441558442,0.375,0.476190476
capture_2020_07_17_12_10_14_005445_right,0,43,26,38,41,45,54,18,46,76,41,1,0,0,1,100,,0.435897436,0.260416667,0.030892449,0.329411765,0.356164384,0.428571429,0.236842105,0.376623377,0.571428571,0.333333333
capture_2020_07_17_12_10_14_005446_left,0,37,36,30,50,37,64,12,53,65,53,1,0,0,1,100,,0.358974359,0.364583333,0.02173913,0.435294118,0.246575342,0.558441558,0.157894737,0.467532468,0.375,0.476190476
capture_2020_07_17_12_10_14_005446_right,0,44,27,38,40,46,55,16,47,76,42,1,0,0,1,100,,0.448717949,0.270833333,0.030892449,0.317647059,0.369863014,0.441558442,0.210526316,0.38961039,0.571428571,0.345238095
capture_2020_07_17_12_10_14_005447_left,0,48,44,39,58,44,72,20,57,74,62,1,0,0,1,100,,0.5,0.447916667,0.032036613,0.529411765,0.342465753,0.662337662,0.263157895,0.519480519,0.535714286,0.583333333
capture_2020_07_17_12_10_14_005447_right,0,56,40,48,53,54,67,26,59,86,54,1,0,0,1,100,,0.602564103,0.40625,0.042334096,0.470588235,0.479452055,0.597402597,0.342105263,0.545454545,0.75,0.488095238
capture_2020_07_17_12_10_14_005448_left,0,50,46,41,59,49,72,25,62,78,62,1,0,0,1,100,,0.525641026,0.46875,0.034324943,0.541176471,0.410958904,0.662337662,0.328947368,0.584415584,0.607142857,0.583333333
capture_2020_07_17_12_10_14_005448_right,0,49,40,42,54,50,68,19,59,78,53,1,0,0,1,100,,0.512820513,0.40625,0.035469108,0.482352941,0.424657534,0.61038961,0.25,0.545454545,0.607142857,0.476190476
capture_2020_07_17_12_10_14_005449_left,0,44,43,36,58,44,70,14,63,71,61,1,0,0,1,100,,0.448717949,0.4375,0.028604119,0.529411765,0.342465753,0.636363636,0.184210526,0.597402597,0.482142857,0.571428571
capture_2020_07_17_12_10_14_005449_right,0,42,41,36,54,44,66,14,59,74,55,1,0,0,1,100,,0.423076923,0.416666667,0.028604119,0.482352941,0.342465753,0.584415584,0.184210526,0.545454545,0.535714286,0.5
capture_2020_07_17_12_10_14_005450_left,0,45,40,40,53,47,67,23,56,71,56,1,0,0,1,100,,0.461538462,0.40625,0.033180778,0.470588235,0.383561644,0.597402597,0.302631579,0.506493506,0.482142857,0.511904762
capture_2020_07_17_12_10_14_005450_right,0,47,36,41,51,49,63,20,56,78,49,1,0,0,1,100,,0.487179487,0.364583333,0.034324943,0.447058824,0.410958904,0.545454545,0.263157895,0.506493506,0.607142857,0.428571429
capture_2020_07_17_12_10_14_005451_left,0,49,41,42,54,49,66,25,56,77,58,1,0,0,1,100,,0.512820513,0.416666667,0.035469108,0.482352941,0.410958904,0.584415584,0.328947368,0.506493506,0.589285714,0.535714286
capture_2020_07_17_12_10_14_005451_right,0,54,37,47,50,57,64,27,56,85,51,1,0,0,1,100,,0.576923077,0.375,0.041189931,0.435294118,0.520547945,0.558441558,0.355263158,0.506493506,0.732142857,0.452380952
capture_2020_07_17_12_10_14_005452_left,0,41,40,34,53,42,66,14,56,68,57,1,0,0,1,100,,0.41025641,0.40625,0.026315789,0.470588235,0.315068493,0.584415584,0.184210526,0.506493506,0.428571429,0.523809524
capture_2020_07_17_12_10_14_005452_right,0,45,35,39,47,45,61,17,53,76,48,1,0,0,1,100,,0.461538462,0.354166667,0.032036613,0.4,0.356164384,0.519480519,0.223684211,0.467532468,0.571428571,0.416666667
capture_2020_07_17_12_10_14_005453_left,0,43,40,36,53,43,66,17,54,70,56,1,0,0,1,100,,0.435897436,0.40625,0.028604119,0.470588235,0.328767123,0.584415584,0.223684211,0.480519481,0.464285714,0.511904762
capture_2020_07_17_12_10_14_005453_right,0,47,35,39,49,46,61,19,53,74,47,1,0,0,1,100,,0.487179487,0.354166667,0.032036613,0.423529412,0.369863014,0.519480519,0.25,0.467532468,0.535714286,0.404761905
capture_2020_07_17_12_10_14_005454_left,0,42,42,42,55,44,69,19,56,69,56,1,0,0,1,100,,0.423076923,0.427083333,0.035469108,0.494117647,0.342465753,0.623376623,0.25,0.506493506,0.446428571,0.511904762
capture_2020_07_17_12_10_14_005454_right,0,46,39,47,52,50,63,22,55,75,51,1,0,0,1,100,,0.474358974,0.395833333,0.041189931,0.458823529,0.424657534,0.545454545,0.289473684,0.493506494,0.553571429,0.452380952
capture_2020_07_17_12_10_14_005686_left,0,40,26,35,43,42,54,25,44,68,39,1,0,0,0,100,,0.397435897,0.260416667,0.027459954,0.352941176,0.315068493,0.428571429,0.328947368,0.350649351,0.428571429,0.30952381
capture_2020_07_17_12_10_14_005686_right,0,45,14,37,30,49,43,22,37,78,29,1,0,0,0,100,,0.461538462,0.135416667,0.029748284,0.2,0.410958904,0.285714286,0.289473684,0.25974026,0.607142857,0.19047619
capture_2020_07_17_12_10_14_005687_left,0,32,26,33,42,42,55,21,49,62,39,1,0,0,0,100,,0.294871795,0.260416667,0.025171625,0.341176471,0.315068493,0.441558442,0.276315789,0.415584416,0.321428571,0.30952381
capture_2020_07_17_12_10_14_005687_right,0,38,13,32,29,44,44,17,38,72,28,1,0,0,0,100,,0.371794872,0.125,0.02402746,0.188235294,0.342465753,0.298701299,0.223684211,0.272727273,0.5,0.178571429
capture_2020_07_17_12_10_14_005688_left,0,27,28,26,48,37,56,17,54,58,41,1,0,0,0,100,,0.230769231,0.28125,0.017162471,0.411764706,0.246575342,0.454545455,0.223684211,0.480519481,0.25,0.333333333
capture_2020_07_17_12_10_14_005688_right,0,37,18,29,36,41,47,13,44,68,33,1,0,0,0,100,,0.358974359,0.177083333,0.020594966,0.270588235,0.301369863,0.337662338,0.171052632,0.350649351,0.428571429,0.238095238
capture_2020_07_17_12_10_14_005689_left,0,24,25,25,43,35,53,12,52,54,37,1,0,0,0,100,,0.192307692,0.25,0.016018307,0.352941176,0.219178082,0.415584416,0.157894737,0.454545455,0.178571429,0.285714286
capture_2020_07_17_12_10_14_005689_right,0,28,21,23,40,34,50,6,47,63,36,1,0,0,0,100,,0.243589744,0.208333333,0.013729977,0.317647059,0.205479452,0.376623377,0.078947368,0.38961039,0.339285714,0.273809524
capture_2020_07_17_12_10_14_005690_left,0,23,28,23,46,30,57,14,52,54,39,1,0,0,0,100,,0.179487179,0.28125,0.013729977,0.388235294,0.150684932,0.467532468,0.184210526,0.454545455,0.178571429,0.30952381
capture_2020_07_17_12_10_14_005690_right,0,21,24,19,41,29,54,2,48,55,39,1,0,0,0,100,,0.153846154,0.239583333,0.009153318,0.329411765,0.136986301,0.428571429,0.026315789,0.402597403,0.196428571,0.30952381
capture_2020_07_17_12_10_14_005691_left,0,23,24,24,41,31,53,11,49,53,37,1,0,0,0,100,,0.179487179,0.239583333,0.014874142,0.329411765,0.164383562,0.415584416,0.144736842,0.415584416,0.160714286,0.285714286
capture_2020_07_17_12_10_14_005691_right,0,21,24,16,41,25,53,0,44,53,38,1,0,0,0,100,,0.153846154,0.239583333,0.005720824,0.329411765,0.082191781,0.415584416,0,0.350649351,0.160714286,0.297619048
capture_2020_07_17_12_10_14_005692_left,0,20,28,21,47,28,57,9,57,50,40,1,0,0,0,100,,0.141025641,0.28125,0.011441648,0.4,0.123287671,0.467532468,0.118421053,0.519480519,0.107142857,0.321428571
capture_2020_07_17_12_10_14_005692_right,0,23,23,12,40,25,53,0,40,48,37,1,0,0,0,100,,0.179487179,0.229166667,0.001144165,0.317647059,0.082191781,0.415584416,0,0.298701299,0.071428571,0.285714286
capture_2020_07_17_12_10_14_005693_left,0,24,31,24,48,31,60,14,59,53,43,1,0,0,0,100,,0.192307692,0.3125,0.014874142,0.411764706,0.164383562,0.506493506,0.184210526,0.545454545,0.160714286,0.357142857
capture_2020_07_17_12_10_14_005694_left,0,25,32,23,49,29,59,13,60,52,44,1,0,0,0,100,,0.205128205,0.322916667,0.013729977,0.423529412,0.136986301,0.493506494,0.171052632,0.558441558,0.142857143,0.369047619
capture_2020_07_17_12_10_14_005695_left,0,21,35,22,52,28,62,11,58,51,47,1,0,0,0,100,,0.153846154,0.354166667,0.012585812,0.458823529,0.123287671,0.532467532,0.144736842,0.532467532,0.125,0.404761905
capture_2020_07_17_12_10_14_005695_right,0,50,38,50,50,50,63,25,50,75,50,0,0,0,0,100,,0.525641026,0.385416667,0.044622426,0.435294118,0.424657534,0.545454545,0.328947368,0.428571429,0.553571429,0.44047619
capture_2020_07_17_12_10_14_005696_left,0,50,38,50,50,50,63,25,50,75,50,0,0,0,0,100,,0.525641026,0.385416667,0.044622426,0.435294118,0.424657534,0.545454545,0.328947368,0.428571429,0.553571429,0.44047619
capture_2020_07_17_12_10_14_005696_right,0,18,19,16,38,23,51,1,47,53,34,0,0,0,0,100,,0.115384615,0.1875,0.005720824,0.294117647,0.054794521,0.38961039,0.013157895,0.38961039,0.160714286,0.25
capture_2020_07_17_12_10_14_005697_left,0,19,38,22,54,27,66,12,65,51,49,0,0,0,0,100,,0.128205128,0.385416667,0.012585812,0.482352941,0.109589041,0.584415584,0.157894737,0.623376623,0.125,0.428571429
capture_2020_07_17_12_10_14_005698_left,0,21,40,22,56,30,66,14,65,52,50,0,0,0,0,100,,0.153846154,0.40625,0.012585812,0.505882353,0.150684932,0.584415584,0.184210526,0.623376623,0.142857143,0.44047619
capture_2020_07_17_12_10_14_005699_left,0,18,35,21,53,25,65,8,61,49,47,0,0,0,0,100,,0.115384615,0.354166667,0.011441648,0.470588235,0.082191781,0.571428571,0.105263158,0.571428571,0.089285714,0.404761905
capture_2020_07_17_12_10_14_005700_left,0,19,35,22,53,29,62,8,62,49,48,0,0,0,0,100,,0.128205128,0.354166667,0.012585812,0.470588235,0.136986301,0.532467532,0.105263158,0.584415584,0.089285714,0.416666667
capture_2020_07_17_12_10_14_005722_left,0,47,38,52,54,57,64,41,59,77,46,1,0,0,1,100,,0.487179487,0.385416667,0.046910755,0.482352941,0.520547945,0.558441558,0.539473684,0.545454545,0.589285714,0.392857143
capture_2020_07_17_12_10_14_005722_right,0,38,22,36,39,51,48,20,47,76,32,1,0,0,1,100,,0.371794872,0.21875,0.028604119,0.305882353,0.438356164,0.350649351,0.263157895,0.38961039,0.571428571,0.226190476
capture_2020_07_17_12_10_14_005723_left,0,61,29,68,45,76,54,58,55,93,36,1,0,0,1,100,,0.666666667,0.291666667,0.065217391,0.376470588,0.780821918,0.428571429,0.763157895,0.493506494,0.875,0.273809524
capture_2020_07_24_18_01_42_011008_left,0,49,16,46,29,44,44,17,31,78,39,0,0,0,0,100,,0.512820513,0.15625,0.040045767,0.188235294,0.342465753,0.298701299,0.223684211,0.181818182,0.607142857,0.30952381
capture_2020_07_24_18_01_42_011008_right,0,39,37,37,48,33,62,6,51,63,59,0,0,0,0,100,,0.384615385,0.375,0.029748284,0.411764706,0.191780822,0.532467532,0.078947368,0.441558442,0.339285714,0.547619048
capture_2020_07_24_18_01_42_011009_left,0,55,16,52,27,50,41,27,29,82,37,0,0,0,0,100,,0.58974359,0.15625,0.046910755,0.164705882,0.424657534,0.25974026,0.355263158,0.155844156,0.678571429,0.285714286
capture_2020_07_24_18_01_42_011009_right,0,48,40,47,49,44,65,18,53,72,61,0,0,0,0,100,,0.5,0.40625,0.041189931,0.423529412,0.342465753,0.571428571,0.236842105,0.467532468,0.5,0.571428571
capture_2020_07_24_18_01_42_011010_left,0,52,14,50,25,47,40,22,27,79,37,0,0,0,0,100,,0.551282051,0.135416667,0.044622426,0.141176471,0.383561644,0.246753247,0.289473684,0.12987013,0.625,0.285714286
capture_2020_07_24_18_01_42_011010_right,0,45,38,45,47,42,63,15,51,71,58,0,0,0,0,100,,0.461538462,0.385416667,0.038901602,0.4,0.315068493,0.545454545,0.197368421,0.441558442,0.482142857,0.535714286
capture_2020_07_24_18_01_42_011011_left,0,48,16,45,28,43,44,18,30,76,40,0,0,0,0,100,,0.5,0.15625,0.038901602,0.176470588,0.328767123,0.298701299,0.236842105,0.168831169,0.571428571,0.321428571
capture_2020_07_24_18_01_42_011011_right,0,42,39,40,49,37,67,10,53,65,61,0,0,0,0,100,,0.423076923,0.395833333,0.033180778,0.423529412,0.246575342,0.597402597,0.131578947,0.467532468,0.375,0.571428571
capture_2020_07_24_18_01_42_011012_left,0,56,15,53,26,50,42,24,28,83,38,0,0,0,0,100,,0.602564103,0.145833333,0.04805492,0.152941176,0.424657534,0.272727273,0.315789474,0.142857143,0.696428571,0.297619048
capture_2020_07_24_18_01_42_011012_right,0,50,37,49,49,45,64,18,51,77,58,0,0,0,0,100,,0.525641026,0.375,0.043478261,0.423529412,0.356164384,0.558441558,0.236842105,0.441558442,0.589285714,0.535714286
capture_2020_07_24_18_01_42_011013_left,0,69,13,63,26,60,41,31,30,96,37,0,0,0,0,100,,0.769230769,0.125,0.059496568,0.152941176,0.561643836,0.25974026,0.407894737,0.168831169,0.928571429,0.285714286
capture_2020_07_24_18_01_42_011013_right,0,60,42,58,51,55,66,28,54,85,64,0,0,0,0,100,,0.653846154,0.427083333,0.053775744,0.447058824,0.493150685,0.584415584,0.368421053,0.480519481,0.732142857,0.607142857
capture_2020_07_24_18_01_42_011014_left,0,65,14,63,26,62,41,37,28,95,38,0,0,0,0,100,,0.717948718,0.135416667,0.059496568,0.152941176,0.589041096,0.25974026,0.486842105,0.142857143,0.910714286,0.297619048
capture_2020_07_24_18_01_42_011014_right,0,57,40,56,51,53,66,26,53,84,62,0,0,0,0,100,,0.615384615,0.40625,0.051487414,0.447058824,0.465753425,0.584415584,0.342105263,0.467532468,0.714285714,0.583333333
capture_2020_07_24_18_01_42_011015_left,0,52,19,50,31,48,46,22,33,82,42,0,0,0,0,100,,0.551282051,0.1875,0.044622426,0.211764706,0.397260274,0.324675325,0.289473684,0.207792208,0.678571429,0.345238095
capture_2020_07_24_18_01_42_011015_right,0,42,42,40,53,36,67,8,54,63,63,0,0,0,0,100,,0.423076923,0.427083333,0.033180778,0.470588235,0.232876712,0.597402597,0.105263158,0.480519481,0.339285714,0.595238095
capture_2020_07_24_18_01_42_011016_left,0,54,16,52,28,50,43,26,29,82,39,0,0,0,0,100,,0.576923077,0.15625,0.046910755,0.176470588,0.424657534,0.285714286,0.342105263,0.155844156,0.678571429,0.30952381
capture_2020_07_24_18_01_42_011016_right,0,41,36,39,49,37,62,9,51,65,60,0,0,0,0,100,,0.41025641,0.364583333,0.032036613,0.423529412,0.246575342,0.532467532,0.118421053,0.441558442,0.375,0.55952381
capture_2020_07_24_18_01_42_011017_left,0,55,18,53,30,50,45,26,33,83,42,0,0,0,0,100,,0.58974359,0.177083333,0.04805492,0.2,0.424657534,0.311688312,0.342105263,0.207792208,0.696428571,0.345238095
capture_2020_07_24_18_01_42_011017_right,0,44,36,41,47,39,62,10,50,70,58,0,0,0,0,100,,0.448717949,0.364583333,0.034324943,0.4,0.273972603,0.532467532,0.131578947,0.428571429,0.464285714,0.535714286
capture_2020_07_24_18_01_42_011018_left,0,54,16,52,29,50,44,23,32,82,39,0,0,0,0,100,,0.576923077,0.15625,0.046910755,0.188235294,0.424657534,0.298701299,0.302631579,0.194805195,0.678571429,0.30952381
capture_2020_07_24_18_01_42_011018_right,0,46,35,44,45,42,62,14,50,70,56,0,0,0,0,100,,0.474358974,0.354166667,0.037757437,0.376470588,0.315068493,0.532467532,0.184210526,0.428571429,0.464285714,0.511904762
capture_2020_07_24_18_01_42_011037_left,0,63,26,63,39,64,50,40,39,96,41,0,0,0,0,100,,0.692307692,0.260416667,0.059496568,0.305882353,0.616438356,0.376623377,0.526315789,0.285714286,0.928571429,0.333333333
capture_2020_07_24_18_01_42_011037_right,0,57,43,56,52,54,62,27,52,82,59,0,0,0,0,100,,0.615384615,0.4375,0.051487414,0.458823529,0.479452055,0.532467532,0.355263158,0.454545455,0.678571429,0.547619048
capture_2020_07_24_18_01_42_011038_left,0,61,29,61,38,60,49,36,40,87,42,0,0,0,0,100,,0.666666667,0.291666667,0.057208238,0.294117647,0.561643836,0.363636364,0.473684211,0.298701299,0.767857143,0.345238095
capture_2020_07_24_18_01_42_011038_right,0,51,38,50,49,48,58,21,47,75,55,0,0,0,0,100,,0.538461538,0.385416667,0.044622426,0.423529412,0.397260274,0.480519481,0.276315789,0.38961039,0.553571429,0.5
capture_2020_07_24_18_01_42_011039_left,0,59,25,58,35,58,46,31,39,87,38,0,0,0,0,100,,0.641025641,0.25,0.053775744,0.258823529,0.534246575,0.324675325,0.407894737,0.285714286,0.767857143,0.297619048
capture_2020_07_24_18_01_42_011039_right,0,49,36,48,45,46,56,18,45,74,52,0,0,0,0,100,,0.512820513,0.364583333,0.042334096,0.376470588,0.369863014,0.454545455,0.236842105,0.363636364,0.535714286,0.464285714
capture_2020_07_24_18_01_42_011040_left,0,56,30,58,38,60,49,32,42,86,42,0,0,0,0,100,,0.602564103,0.302083333,0.053775744,0.294117647,0.561643836,0.363636364,0.421052632,0.324675325,0.75,0.345238095
capture_2020_07_24_18_01_42_011040_right,0,48,38,46,45,46,57,18,46,72,54,0,0,0,0,100,,0.5,0.385416667,0.040045767,0.376470588,0.369863014,0.467532468,0.236842105,0.376623377,0.5,0.488095238
capture_2020_07_24_18_01_42_011041_left,0,53,27,54,38,56,48,33,41,84,40,0,0,0,0,100,,0.564102564,0.270833333,0.049199085,0.294117647,0.506849315,0.350649351,0.434210526,0.311688312,0.714285714,0.321428571
capture_2020_07_24_18_01_42_011041_right,0,42,35,41,43,38,54,10,44,68,51,0,0,0,0,100,,0.423076923,0.354166667,0.034324943,0.352941176,0.260273973,0.428571429,0.131578947,0.350649351,0.428571429,0.452380952
capture_2020_07_24_18_01_42_011042_left,0,51,30,53,41,53,50,26,43,81,41,0,0,0,0,100,,0.538461538,0.302083333,0.04805492,0.329411765,0.465753425,0.376623377,0.342105263,0.337662338,0.660714286,0.333333333
capture_2020_07_24_18_01_42_011042_right,0,43,37,42,45,39,55,11,46,67,52,0,0,0,0,100,,0.435897436,0.375,0.035469108,0.376470588,0.273972603,0.441558442,0.144736842,0.376623377,0.410714286,0.464285714
capture_2020_07_24_18_01_42_011043_left,0,52,31,53,41,54,53,28,45,79,42,0,0,0,0,100,,0.551282051,0.3125,0.04805492,0.329411765,0.479452055,0.415584416,0.368421053,0.363636364,0.625,0.345238095
capture_2020_07_24_18_01_42_011043_right,0,41,38,41,47,38,58,10,48,66,54,0,0,0,0,100,,0.41025641,0.385416667,0.034324943,0.4,0.260273973,0.480519481,0.131578947,0.402597403,0.392857143,0.488095238
capture_2020_07_24_18_01_42_011044_left,0,53,33,54,42,54,52,30,47,81,42,0,0,0,0,100,,0.564102564,0.333333333,0.049199085,0.341176471,0.479452055,0.402597403,0.394736842,0.38961039,0.660714286,0.345238095
capture_2020_07_24_18_01_42_011044_right,0,40,40,39,48,38,58,11,48,66,53,0,0,0,0,100,,0.397435897,0.40625,0.032036613,0.411764706,0.260273973,0.480519481,0.144736842,0.402597403,0.392857143,0.476190476
capture_2020_07_24_18_01_42_011045_left,0,56,38,58,48,61,59,37,52,86,47,0,0,0,0,100,,0.602564103,0.385416667,0.053775744,0.411764706,0.575342466,0.493506494,0.486842105,0.454545455,0.75,0.404761905
capture_2020_07_24_18_01_42_011045_right,0,52,44,51,53,50,63,24,54,77,58,0,0,0,0,100,,0.551282051,0.447916667,0.04576659,0.470588235,0.424657534,0.545454545,0.315789474,0.480519481,0.589285714,0.535714286
capture_2020_07_24_18_01_42_011046_left,0,59,40,62,50,63,60,38,54,89,51,0,0,0,0,100,,0.641025641,0.40625,0.058352403,0.435294118,0.602739726,0.506493506,0.5,0.480519481,0.803571429,0.452380952
capture_2020_07_24_18_01_42_011046_right,0,56,46,55,56,54,66,29,56,81,60,0,0,0,0,100,,0.602564103,0.46875,0.050343249,0.505882353,0.479452055,0.584415584,0.381578947,0.506493506,0.660714286,0.55952381
capture_2020_07_24_18_01_42_011047_left,0,62,42,64,53,65,63,41,56,91,52,0,0,0,0,100,,0.679487179,0.427083333,0.060640732,0.470588235,0.630136986,0.545454545,0.539473684,0.506493506,0.839285714,0.464285714
capture_2020_07_24_18_01_42_011047_right,0,57,46,56,56,55,65,28,57,82,62,0,0,0,0,100,,0.615384615,0.46875,0.051487414,0.505882353,0.493150685,0.571428571,0.368421053,0.519480519,0.678571429,0.583333333
capture_2020_07_24_18_01_42_011048_left,0,58,42,60,50,60,60,36,55,88,51,0,0,0,0,100,,0.628205128,0.427083333,0.056064073,0.435294118,0.561643836,0.506493506,0.473684211,0.493506494,0.785714286,0.452380952
capture_2020_07_24_18_01_42_011048_right,0,51,49,49,56,48,67,24,57,75,63,0,0,0,0,100,,0.538461538,0.5,0.043478261,0.505882353,0.397260274,0.597402597,0.315789474,0.519480519,0.553571429,0.595238095
capture_2020_07_24_18_01_42_011049_left,1,47,42,47,43,47,45,22,48,77,41,0,0,0,0,100,,0.487179487,0.427083333,0.041189931,0.352941176,0.383561644,0.311688312,0.289473684,0.402597403,0.589285714,0.333333333
capture_2020_07_24_18_01_42_011049_right,1,40,48,40,50,39,52,13,46,61,53,0,0,0,0,100,,0.397435897,0.489583333,0.033180778,0.435294118,0.273972603,0.402597403,0.171052632,0.376623377,0.303571429,0.476190476
capture_2020_07_24_18_01_42_011050_left,1,48,37,48,39,49,40,22,43,78,40,0,0,0,0,100,,0.5,0.375,0.042334096,0.305882353,0.410958904,0.246753247,0.289473684,0.337662338,0.607142857,0.321428571
capture_2020_07_24_18_01_42_011050_right,1,47,42,46,44,45,47,19,43,67,51,0,0,0,0,100,,0.487179487,0.427083333,0.040045767,0.364705882,0.356164384,0.337662338,0.25,0.337662338,0.410714286,0.452380952
capture_2020_07_24_18_01_42_011051_left,0,43,32,44,40,45,49,18,45,72,45,0,0,0,0,100,,0.435897436,0.322916667,0.037757437,0.317647059,0.356164384,0.363636364,0.236842105,0.363636364,0.5,0.380952381
capture_2020_07_24_18_01_42_011051_right,0,46,41,45,47,43,56,20,49,65,53,0,0,0,0,100,,0.474358974,0.416666667,0.038901602,0.4,0.328767123,0.454545455,0.263157895,0.415584416,0.375,0.476190476
capture_2020_07_24_18_01_42_011109_left,0,48,39,46,50,48,65,25,59,80,56,1,0,0,0,100,,0.5,0.395833333,0.040045767,0.435294118,0.397260274,0.571428571,0.328947368,0.545454545,0.642857143,0.511904762
capture_2020_07_24_18_01_42_011109_right,0,44,33,33,46,42,61,14,56,73,51,1,0,0,0,100,,0.448717949,0.333333333,0.025171625,0.388235294,0.315068493,0.519480519,0.184210526,0.506493506,0.517857143,0.452380952
